"","V1","V2"
"469","PT_FcgR3b","IPV3_IgG3"
"470","PT_FcgR3b","IPV2_IgG3"
"471","PT_FcgR3b","DT_IgG1"
"472","PT_FcgR3b","PRN_ADCP"
"473","PT_FcgR3b","PT_IgG"
"474","PT_FcgR3b","PT_ADCD"
"475","IPV2_ADCD","TT_FcgR3b"
"476","IPV2_ADCD","IPV1_ADCD"
"477","IPV2_ADCD","FIM_FcgR3b"
"478","IPV2_ADCD","DT_ADCD"
"479","IPV2_ADCD","PRN_ADCD"
"480","IPV2_ADCD","FHA_ADCD"
"481","IPV2_ADCD","FIM_FcgR2a"
"482","IPV2_ADCD","IPV2_IgG1"
"483","IPV2_ADCD","ACT_ADCD"
"484","IPV2_ADCD","IPV1_IgG1"
"485","IPV2_ADCD","PT_ADCD"
"486","FIM_IgG","TT_IgG4"
"487","FIM_IgG","PRN_IgG3"
"488","FIM_IgG","PRN_IgG"
"489","FIM_IgG","DT_ADCP"
"490","FIM_IgG","IPV3_FcgR3b"
"491","FIM_IgG","PT_IgG2"
"492","FIM_IgG","FIM_IgG1"
"493","FIM_IgG","FIM_FcgR3b"
"494","FIM_IgG","IPV2_FcgR2a"
"495","FIM_IgG","DT_IgG"
"496","FIM_IgG","IPV1_FcgR2a"
"497","FIM_IgG","FHA_IgG1"
"498","FIM_IgG","FHA_ADCD"
"499","FIM_IgG","PT_IgG1"
"500","FIM_IgG","FIM_FcgR2a"
"501","FIM_IgG","FIM_IgG3"
"502","FIM_IgG","DT_IgG2"
"503","FIM_IgG","FHA_IgG4"
"504","FIM_IgG","FIM_IgG2"
"505","FIM_IgG","TT_IgG"
"506","FIM_IgG","FHA_IgG2"
"507","FIM_IgG","FHA_IgG3"
"508","FIM_IgG","PRN_IgG2"
"509","FIM_IgG","PRN_IgG1"
"510","FIM_IgG","IPV2_IgG3"
"511","FIM_IgG","PRN_ADCP"
"512","FIM_IgG","PT_IgG"
"513","FIM_IgG","PT_ADCD"
"514","TT_IgG4","FHA_FcgR2a"
"515","TT_IgG4","TT_IgG2"
"516","TT_IgG4","IPV1_FcgR3b"
"517","TT_IgG4","FIM_ADCD"
"518","TT_IgG4","FHA_FcgR3b"
"519","TT_IgG4","TT_FcgR3b"
"520","TT_IgG4","PRN_IgG"
"521","TT_IgG4","PT_IgG2"
"522","TT_IgG4","ACT_FcgR3b"
"523","TT_IgG4","DT_ADCD"
"524","TT_IgG4","PT_IgG4"
"525","TT_IgG4","PRN_IgG4"
"526","TT_IgG4","IPV1_FcgR2a"
"527","TT_IgG4","TT_IgG1"
"528","TT_IgG4","FHA_ADCD"
"529","TT_IgG4","DT_ADNP"
"530","TT_IgG4","PT_IgG1"
"531","TT_IgG4","PT_IgG3"
"532","TT_IgG4","FIM_IgG3"
"533","TT_IgG4","ACT_IgG4"
"534","TT_IgG4","DT_IgG2"
"535","TT_IgG4","FHA_IgG4"
"536","TT_IgG4","FIM_IgG2"
"537","TT_IgG4","TT_ADCP"
"538","TT_IgG4","TT_IgG"
"539","TT_IgG4","ACT_ADCD"
"540","TT_IgG4","DT_IgG4"
"541","TT_IgG4","FHA_IgG3"
"542","TT_IgG4","IPV2_FcgR3b"
"543","TT_IgG4","IPV3_IgG1"
"544","TT_IgG4","IPV3_IgG3"
"545","TT_IgG4","ACT_IgG3"
"546","TT_IgG4","IPV2_IgG3"
"547","TT_IgG4","DT_IgG1"
"548","TT_IgG4","PT_IgG"
"549","FHA_FcgR2a","IPV1_FcgR3b"
"550","FHA_FcgR2a","FHA_FcgR3b"
"551","FHA_FcgR2a","PRN_IgG3"
"552","FHA_FcgR2a","PRN_IgG"
"553","FHA_FcgR2a","ACT_IgG1"
"554","FHA_FcgR2a","FIM_IgG1"
"555","FHA_FcgR2a","ACT_FcgR3b"
"556","FHA_FcgR2a","FIM_FcgR3b"
"557","FHA_FcgR2a","IPV2_FcgR2a"
"558","FHA_FcgR2a","IPV1_FcgR2a"
"559","FHA_FcgR2a","TT_IgG1"
"560","FHA_FcgR2a","FHA_IgG1"
"561","FHA_FcgR2a","FHA_ADCD"
"562","FHA_FcgR2a","TT_FcgR2a"
"563","FHA_FcgR2a","FIM_FcgR2a"
"564","FHA_FcgR2a","PT_IgG3"
"565","FHA_FcgR2a","FIM_IgG3"
"566","FHA_FcgR2a","IPV2_IgG1"
"567","FHA_FcgR2a","PRN_FcgR3b"
"568","FHA_FcgR2a","FIM_IgG2"
"569","FHA_FcgR2a","ACT_IgG2"
"570","FHA_FcgR2a","IPV3_IgG4"
"571","FHA_FcgR2a","FHA_IgG2"
"572","FHA_FcgR2a","FHA_IgG3"
"573","FHA_FcgR2a","IPV2_FcgR3b"
"574","FHA_FcgR2a","IPV3_IgG1"
"575","FHA_FcgR2a","PT_ADCP"
"576","FHA_FcgR2a","IPV3_IgG3"
"577","FHA_FcgR2a","PRN_IgG1"
"578","FHA_FcgR2a","ACT_IgG3"
"579","FHA_FcgR2a","PT_IgG"
"580","TT_IgG2","FIM_ADCD"
"581","TT_IgG2","PT_IgG2"
"582","TT_IgG2","ACT_IgG1"
"583","TT_IgG2","IPV1_ADCD"
"584","TT_IgG2","FIM_FcgR3b"
"585","TT_IgG2","IPV2_FcgR2a"
"586","TT_IgG2","PRN_ADCD"
"587","TT_IgG2","TT_IgG1"
"588","TT_IgG2","DT_IgG3"
"589","TT_IgG2","TT_FcgR2a"
"590","TT_IgG2","FIM_FcgR2a"
"591","TT_IgG2","FIM_IgG3"
"592","TT_IgG2","PRN_FcgR3b"
"593","TT_IgG2","DT_IgG2"
"594","TT_IgG2","FIM_IgG2"
"595","TT_IgG2","TT_ADCP"
"596","TT_IgG2","TT_IgG"
"597","TT_IgG2","ACT_IgG2"
"598","TT_IgG2","DT_IgG4"
"599","TT_IgG2","FHA_IgG2"
"600","TT_IgG2","IPV3_IgG3"
"601","TT_IgG2","PRN_IgG2"
"602","IPV1_FcgR3b","FHA_FcgR3b"
